name,size,duration,elapsed
../audio/2024-09-27-12-41-18_small.wav,    1875.04,     10.00,    0.3782
../audio/2024-09-27-12-41-19_large.wav,    1875.04,     10.00,    0.3821
../audio/2024-09-27-12-41-20_small.wav,     375.04,      2.00,    0.3354
../audio/2024-09-27-12-41-21_small.wav,     562.54,      3.00,     0.345
../audio/2024-09-27-12-41-22_small.wav,     750.04,      4.00,    0.3347
../audio/2024-09-27-12-41-23_small.wav,     937.54,      5.00,      0.43
../audio/2024-09-27-12-41-24_small.wav,    1125.04,      6.00,    0.4251
../audio/2024-09-27-12-41-25_small.wav,    1312.54,      7.00,    0.4013
../audio/2024-09-27-12-41-26_small.wav,    1500.04,      8.00,    0.4474
../audio/2024-09-27-12-41-27_small.wav,    1687.54,      9.00,    0.4221
../audio/2024-09-27-12-41-28_large.wav,    1875.04,     10.00,    0.4322
../audio/2024-09-27-12-41-28_small.wav,    1875.04,     10.00,     0.518
../audio/2024-09-27-12-41-30_small.wav,     375.04,      2.00,    0.1654
../audio/2024-09-27-12-41-31_small.wav,     562.54,      3.00,    0.3447
../audio/2024-09-27-12-41-32_small.wav,     750.04,      4.00,    0.3225
../audio/2024-09-27-13-01-40_small.wav,      93.79,      0.50,    0.1585
../audio/2024-09-27-13-01-43_small.wav,     562.54,      3.00,    0.4019
../audio/2024-09-27-13-01-45_small.wav,     937.54,      5.00,    0.4952
../audio/2024-09-27-13-01-46_small.wav,    1125.04,      6.00,    0.4643
../audio/2024-09-27-13-01-47_small.wav,    1406.29,      7.50,    0.4748
../audio/2024-09-27-13-01-48_small.wav,    1593.79,      8.50,     0.517
../audio/2024-09-27-13-01-49_small.wav,    1781.29,      9.50,    0.5349
../audio/2024-09-27-13-01-50_small.wav,    1968.79,     10.50,    0.6531
../audio/2024-09-27-13-01-51_large.wav,    1968.79,     10.50,    0.6293
../audio/2024-09-27-13-01-53_small.wav,     468.79,      2.50,    0.1701
../audio/2024-09-27-13-01-54_small.wav,     750.04,      4.00,    0.1748
../audio/2024-09-27-13-01-55_small.wav,     774.29,      4.13,    0.1697
../audio/2024-09-27-13-31-26_small.wav,      93.79,      0.50,    0.1476
../audio/2024-09-27-13-31-27_small.wav,     281.29,      1.50,    0.3551
../audio/2024-09-27-13-31-28_small.wav,     468.79,      2.50,    0.3799
../audio/2024-09-27-13-31-30_small.wav,     750.04,      4.00,    0.3719
../audio/2024-09-27-13-31-31_small.wav,    1031.29,      5.50,    0.1713
../audio/2024-09-27-13-31-32_small.wav,    1218.79,      6.50,    0.1704
../audio/2024-09-27-13-31-33_small.wav,    1406.29,      7.50,    0.1769
../audio/2024-09-27-13-31-34_small.wav,    1593.79,      8.50,    0.3378
../audio/2024-09-27-13-31-37_small.wav,    2156.29,     11.50,    0.3564
../audio/2024-09-27-13-31-38_large.wav,    2156.29,     11.50,    0.3798
../audio/2024-09-27-13-31-39_small.wav,     375.04,      2.00,    0.3277
../audio/2024-09-27-13-31-40_small.wav,     562.54,      3.00,    0.3438
../audio/2024-09-27-13-31-41_small.wav,     750.04,      4.00,    0.3446
../audio/2024-09-27-13-31-42_small.wav,     937.54,      5.00,    0.3711
../audio/2024-09-27-13-31-43_small.wav,    1125.04,      6.00,    0.3451
../audio/2024-09-27-13-31-44_small.wav,    1312.54,      7.00,     0.395
../audio/2024-09-27-13-31-45_small.wav,    1500.04,      8.00,    0.4598
../audio/2024-09-27-13-31-46_small.wav,    1687.54,      9.00,    0.5398
../audio/2024-09-27-13-31-47_small.wav,    1875.04,     10.00,    0.5452
../audio/2024-09-27-13-31-48_large.wav,    1875.04,     10.00,    0.5451
../audio/2024-09-27-13-31-50_small.wav,     468.79,      2.50,      0.33
../audio/2024-09-27-13-31-51_small.wav,     656.29,      3.50,    0.3678
../audio/2024-09-27-13-31-52_small.wav,     843.79,      4.50,    0.3437
../audio/2024-09-27-13-31-53_small.wav,    1031.29,      5.50,    0.3549
../audio/2024-09-27-13-31-54_small.wav,    1218.79,      6.50,    0.3774
../audio/2024-09-27-13-31-55_small.wav,    1406.29,      7.50,    0.3624
../audio/2024-09-27-13-31-56_small.wav,    1593.79,      8.50,      0.43
../audio/2024-09-27-13-31-57_small.wav,    1781.29,      9.50,    0.4049
../audio/2024-09-27-13-31-58_large.wav,    1968.79,     10.50,    0.3875
../audio/2024-09-27-13-31-58_small.wav,    1968.79,     10.50,    0.3906
../audio/2024-09-27-13-32-00_small.wav,     375.04,      2.00,    0.1812
